pair,seed,arm,initial_states_match,agent_success,agent_termination,agent_bill_lower_nusd,agent_bill_upper_nusd,pace_success,pace_termination,pace_bill_lower_nusd,pace_bill_upper_nusd,binding_fields_correct,program_attempted,fallback,fallback_reason,fields_correct_at_fallback,agent_perturbation_exposed,pace_perturbation_exposed,pace_reference_prefix_nusd,pace_prefix_ceiling_nusd,pace_prefix_occupied_nusd,pace_prefix_bound_holds
s00_clean,0,clean,True,False,billing_stop,5147159,45492759,True,program_return,48213,48213,6,True,False,,,False,False,80000000,100000000,48213,True
s00_renamed_submit,0,renamed_submit,True,False,billing_stop,2049994,42395594,True,done,762697,762697,6,True,True,program_failure,6,False,True,160000000,200000000,810910,True
s00_blocking_dialog,0,blocking_dialog,True,False,step_cap,17155913,17155913,True,done,1255124,1255124,6,True,True,program_failure,6,False,True,240000000,300000000,2066034,True
s01_clean,1,clean,True,True,done,9686905,9686905,True,program_return,48213,48213,6,True,False,,,False,False,320000000,400000000,2114247,True
s01_renamed_submit,1,renamed_submit,True,True,done,6830955,6830955,True,done,763192,763192,6,True,True,program_failure,6,True,True,400000000,500000000,2877439,True
s01_blocking_dialog,1,blocking_dialog,True,True,done,11091273,11091273,True,done,1129245,1129245,6,True,True,program_failure,6,True,True,480000000,600000000,10878324,True
s02_clean,2,clean,True,False,billing_stop,14067405,54413005,True,program_return,48213,48213,6,True,False,,,False,False,560000000,700000000,10926537,True
s02_renamed_submit,2,renamed_submit,True,True,done,8658198,8658198,True,done,891050,891050,6,True,True,program_failure,6,True,True,640000000,800000000,11817587,True
s02_blocking_dialog,2,blocking_dialog,True,False,billing_stop,0,40345600,False,billing_stop,7353624,47699224,6,True,True,program_failure,0,False,True,720000000,900000000,59516811,True
s03_clean,3,clean,True,True,done,6802047,6802047,True,program_return,48857,48857,6,True,False,,,False,False,800000000,1000000000,59565668,True
s03_renamed_submit,3,renamed_submit,True,True,done,7875601,7875601,True,done,892882,892882,6,True,True,program_failure,6,True,True,880000000,1100000000,60458550,True
s03_blocking_dialog,3,blocking_dialog,True,True,done,8333774,8333774,True,done,1184090,1184090,6,True,True,program_failure,6,True,True,960000000,1200000000,61642640,True
