dataset,model,run,call,prompt_tokens,completion_tokens,cost_usd,prev_prompt,new_tokens,det_tok,prov_cached,prov_cached_raw,prov_viol,prov_tok,raw_tok,flag
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,1,1225,42,5.132556e-05,0,1225,1267.0,222.96,222.96,,1114.9799999999998,1267,first_call
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,2,2446,194,0.00014666256,1225,1221,1804.7727272727273,2345.96,2345.96,,1040.4799999999996,2640,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,3,3645,73,8.582112e-05,2446,1199,2050.272727272727,2836.59,2836.59,,1783.9600000000003,3718,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,4,4850,36,8.117208e-05,3645,1205,2400.772727272727,3285.86,3285.86,,2645.6399999999994,4886,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,5,6070,27,7.109388e-05,4850,1220,2790.181818181818,5351.07,5351.07,,2448.5399999999995,6097,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,6,7281,66,0.00011741004,6070,1211,3208.363636363636,5755.46,5755.46,,3422.8200000000015,7347,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,7,8493,102,0.00013499244,7281,1212,3630.681818181818,7944.9,7944.9,,3178.0199999999995,8595,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,8,9705,60,0.00037152324,8493,1212,3974.318181818182,0.0,-7894.22,cached<0,9765.0,9765,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,9,10941,787,0.0008728236,9705,1236,5110.954545454546,0.0,-7513.44,cached<0,11728.0,11728,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,10,11594,49,0.0002629242,10941,653,4183.227272727272,1632.25,1632.25,,10530.099999999999,11643,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,11,12190,59,0.0002643102,11594,596,4344.0,2853.99,2853.99,,10303.1,12249,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,12,12792,52,0.0002558952,12190,602,4532.636363636364,3989.92,3989.92,,10123.600000000002,12844,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,13,13407,80,0.00030017196,12792,615,4765.181818181818,3172.14,3172.14,,11324.18,13487,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,14,14032,64,0.00029088576,13407,625,4954.863636363636,4003.88,4003.88,,11366.080000000002,14096,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,15,14657,38,0.00027506556,14032,625,5127.727272727273,4831.23,4831.23,,11400.980000000001,14695,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,16,15291,90,0.00031217076,14657,634,5387.590909090909,5575.42,5575.42,,11579.580000000002,15381,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,17,15892,39,0.00027478836,15291,601,5505.318181818182,6705.04,6705.04,,11359.380000000001,15931,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,18,16509,33,0.00027029376,15892,617,5706.545454545454,7645.62,7645.62,,11329.080000000002,16542,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s0,19,17125,44,0.00030368052,16509,616,5912.863636363636,6807.3,6807.3,,12527.66,17169,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s1,1,1228,31,0.000132936804,0,1228,1259.0,0.0,-5697.39,cached<0,1259.0,1259,first_call
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s1,2,2450,67,0.000230538924,1228,1222,1679.7272727272727,0.0,-8827.93,cached<0,2517.0,2517,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s1,3,3649,94,0.000317468844,2450,1199,2072.5454545454545,0.0,-11676.72,cached<0,3743.0,3743,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s1,4,4854,48,0.000396190872,3649,1205,2414.0454545454545,0.0,-17181.52,cached<0,4902.0,4902,regular
t11,deepseek/deepseek-v4-flash-vision-exp,discover__sectioned__s1,5,6074,74,0.000486962784,4854,1220,2838.4545454545455,0.0,-20299.65,cached<0,6148.0,6148,regular
