completion_tokens,condition,cost_usd,dataset,det_tok,final_total_tokens,flag_prompt_shrank,flag_zero_new,layout,model,n_calls,new_tokens,prompt_tokens,prov_tok,prov_violations,r_cache,raw_tok,seed,steps,steps_without_usage,success,success_count,success_rate
1935,discover,0.0047430108,t11,76657.27272727272,200080,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,19,17125,198145,148971.18000000002,2,0.3181818181818182,200080,0,19,0,True,,
3278,discover,0.016094900052,t11,64203.13636363636,162057,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,17,15260,158779,162057.0,17,0.3181818181818182,162057,1,17,0,True,,
1046,discover,0.00536052825,t11,47440.0,119440,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,15,12794,118394,96027.45772727273,8,0.3181818181818182,119440,2,15,0,True,,
2577,discover,0.00464228424,t11,65675.54545454546,166856,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,17,15881,164279,125958.09818181819,3,0.3181818181818182,166856,0,17,0,True,,
3917,discover,0.0168363657,t11,67247.81818181818,168791,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,17,15944,164874,168791.0,17,0.3181818181818182,168791,1,17,0,True,,
1083,discover,0.00401293827,t11,43041.90909090909,106841,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,14,12186,105758,98478.9,8,0.3181818181818182,106841,2,14,0,True,,
2069,discover,0.00405567756,t11,67638.63636363637,174845,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,18,15540,172776,124192.18000000001,1,0.3181818181818182,174845,0,18,0,True,,
1582,discover,0.011354289408,t11,52053.90909090909,132068,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,16,13132,130486,132068.0,16,0.3181818181818182,132068,1,16,0,True,,
994,discover,0.00370474632,t11,46454.27272727273,117227,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,15,12433,116233,87294.15272727273,7,0.3181818181818182,117227,2,15,0,True,,
43,floor,0.00011137896,t11,1134.0,1134,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,1,1091,1091,1134.0,1,0.3181818181818182,1134,0,1,0,,,
48,floor,0.00011458062,t11,1139.0,1139,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,1,1091,1091,1139.0,1,0.3181818181818182,1139,1,1,0,,,
79,floor,0.000134430912,t11,1170.0,1170,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,1,1091,1091,1170.0,1,0.3181818181818182,1170,2,1,0,,,
33,floor,0.0002596176,t11,1126.0,1126,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,1,1093,1093,1126.0,1,0.3181818181818182,1126,0,1,0,,,
33,floor,0.00025399836,t11,1124.0,1124,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,1,1091,1091,1124.0,1,0.3181818181818182,1124,1,1,0,,,
73,floor,0.00013058892,t11,1164.0,1164,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,1,1091,1091,1164.0,1,0.3181818181818182,1164,2,1,0,,,
50,floor,0.000115861284,t11,1141.0,1141,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,1,1091,1091,1141.0,1,0.3181818181818182,1141,0,1,0,,,
35,floor,0.000106256304,t11,1126.0,1126,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,1,1091,1091,1126.0,1,0.3181818181818182,1126,1,1,0,,,
25,floor,9.9852984e-05,t11,1116.0,1116,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,1,1091,1091,1116.0,1,0.3181818181818182,1116,2,1,0,,,
3050,mid,0.00684826164,t11,72332.54545454546,185333,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,18,16549,182283,156023.16,9,0.3181818181818182,185333,0,18,0,True,,
8973,mid,0.031046535828000002,t11,113636.90909090909,291931,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,22,21460,282958,291931.0,22,0.3181818181818182,291931,1,22,0,True,,
1933,mid,0.01495922274,t11,63389.454545454544,162219,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,17,15336,160286,162219.0,17,0.3181818181818182,162219,2,17,0,True,,
1804,mid,0.017172617616,t11,65364.40909090909,167436,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,17,15927,165632,167436.0,17,0.3181818181818182,167436,0,17,0,True,,
1486,mid,0.007686258624,t11,24461.954545454544,56279,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,11,8128,54793,56279.0,11,0.3181818181818182,56279,1,11,0,True,,
2546,mid,0.00566981316,t11,56696.13636363636,142265,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,16,14218,139719,126971.76000000001,8,0.3181818181818182,142265,2,16,0,True,,
2647,mid,0.00645161616,t11,66303.22727272728,170438,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,18,15060,167791,146887.44,8,0.3181818181818182,170438,0,17,0,True,,
3472,mid,0.01631168154,t11,66553.04545454546,169841,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,18,14880,166369,169841.0,18,0.3181818181818182,169841,1,18,0,True,,
3676,mid,0.0212262138,t11,79236.13636363637,207195,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,21,15846,203519,207195.0,21,0.3181818181818182,207195,2,21,0,True,,
2463,skill,0.018376305948,t11,80931.68181818182,210681,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,19,17919,208218,210681.0,19,0.3181818181818182,210681,0,19,0,True,,
2274,skill,0.00513638136,t11,73396.81818181818,191170,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,19,16162,188896,153957.1690909091,4,0.3181818181818182,191170,1,19,0,True,,
1311,skill,0.010346542668,t11,46873.63636363636,117765,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,15,12480,116454,117765.0,15,0.3181818181818182,117765,2,15,0,True,,
1593,skill,0.026839145124,t11,80155.18181818182,210062,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,19,17939,208469,210062.0,19,0.3181818181818182,210062,0,18,0,True,,
2762,skill,0.00568886076,t11,52844.045454545456,130767,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,15,13718,128005,121075.3,8,0.3181818181818182,130767,1,15,0,True,,
2814,skill,0.012712588812,t11,50799.77272727273,125495,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,15,13128,122681,125495.0,15,0.3181818181818182,125495,2,15,0,True,,
1446,skill,0.0148479408,t11,60673.681818181816,156388,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,17,14561,154942,156388.0,17,0.3181818181818182,156388,0,17,0,True,,
1720,skill,0.00376683516,t11,58463.72727272727,150051,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,17,14003,148331,119375.3490909091,3,0.3181818181818182,150051,1,16,0,True,,
2516,skill,0.014526882216,t11,56337.454545454544,141922,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,16,13882,139406,141922.0,16,0.3181818181818182,141922,2,16,0,True,,
513,told,0.004441827852,t11,18349.045454545456,41777,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,10,6903,41264,41777.0,10,0.3181818181818182,41777,0,10,0,True,,
494,told,0.00271751238,t11,18377.863636363636,41859,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,10,6926,41365,41859.0,10,0.3181818181818182,41859,1,10,0,True,,
514,told,0.00239050548,t11,18358.136363636364,41797,0,0,sectioned,deepseek/deepseek-v4-flash-vision-exp,10,6906,41283,41797.0,10,0.3181818181818182,41797,2,10,0,True,,
626,told,0.00199198296,t11,15875.590909090908,35034,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,9,6309,34408,35034.0,9,0.3181818181818182,35034,0,9,0,True,,
672,told,0.002010294,t11,15955.454545454546,35150,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,9,6326,34478,35150.0,9,0.3181818181818182,35150,1,9,0,True,,
691,told,0.002424216366,t11,15963.272727272728,35151,0,0,single_page,deepseek/deepseek-v4-flash-vision-exp,9,6318,34460,35151.0,9,0.3181818181818182,35151,2,9,0,True,,
394,told,0.00134349237,t11,17325.090909090908,39566,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,10,6552,39172,15486.227272727272,10,0.3181818181818182,39566,0,10,0,True,,
477,told,0.00200059596,t11,17434.681818181816,39709,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,10,6563,39232,39709.0,10,0.3181818181818182,39709,1,10,0,True,,
561,told,0.00203152356,t11,17471.409090909092,39683,0,0,wizard,deepseek/deepseek-v4-flash-vision-exp,10,6545,39122,39683.0,10,0.3181818181818182,39683,2,10,0,True,,
304,discover,0.00239013225,t11,33419.4,105721,0,0,sectioned,z-ai/glm-5.3-flash,12,15040,105417,31159.096666666665,0,0.19999999999999998,105721,0,12,0,True,,
147,discover,0.0068397219,t11,33308.6,105687,0,0,sectioned,z-ai/glm-5.3-flash,12,15067,105540,80410.02533333334,5,0.19999999999999998,105687,1,12,0,True,,
681,discover,0.0043048368,t11,62651.0,221099,0,0,sectioned,z-ai/glm-5.3-flash,17,22358,220418,55808.82399999999,0,0.19999999999999998,221099,2,17,0,True,,
940,discover,0.00464234265,t11,61612.2,213213,0,0,single_page,z-ai/glm-5.3-flash,16,22772,212273,59704.56866666666,0,0.19999999999999998,213213,0,16,0,True,,
442,discover,0.0082689057,t11,41102.799999999996,134002,0,0,single_page,z-ai/glm-5.3-flash,13,17436,133560,92763.26933333333,6,0.19999999999999998,134002,1,13,0,True,,
700,discover,0.00413485875,t11,53943.799999999996,183591,0,0,single_page,z-ai/glm-5.3-flash,15,20832,182891,53498.11666666666,0,0.19999999999999998,183591,2,15,0,True,,
556,discover,0.0048962628,t11,65580.8,232428,0,0,wizard,z-ai/glm-5.3-flash,17,23313,231872,63986.17066666665,0,0.19999999999999998,232428,0,17,0,True,,
211,discover,0.0103787145,t11,58086.4,203124,0,0,wizard,z-ai/glm-5.3-flash,16,21616,202913,116512.23999999999,5,0.19999999999999998,203124,1,16,0,True,,
470,discover,0.00798648345,t11,51421.4,175739,0,0,wizard,z-ai/glm-5.3-flash,15,19872,175269,105389.77933333334,0,0.19999999999999998,175739,2,15,0,True,,
32,floor,3.282345e-05,t11,1545.0,1545,0,0,sectioned,z-ai/glm-5.3-flash,1,1513,1513,362.9793333333333,0,0.19999999999999998,1545,0,1,0,,,
4,floor,2.589345e-05,t11,1517.0,1517,0,0,sectioned,z-ai/glm-5.3-flash,1,1513,1513,335.91266666666667,0,0.19999999999999998,1517,1,1,0,,,
4,floor,2.589345e-05,t11,1517.0,1517,0,0,sectioned,z-ai/glm-5.3-flash,1,1513,1513,335.91266666666667,0,0.19999999999999998,1517,2,1,0,,,
18,floor,0.00011679525,t11,1531.0,1531,0,0,single_page,z-ai/glm-5.3-flash,1,1513,1513,1515.27,0,0.19999999999999998,1531,0,1,0,,,
18,floor,0.00010158885,t11,1531.0,1531,0,0,single_page,z-ai/glm-5.3-flash,1,1513,1513,1312.518,0,0.19999999999999998,1531,1,1,0,,,
18,floor,2.935845e-05,t11,1531.0,1531,0,0,single_page,z-ai/glm-5.3-flash,1,1513,1513,349.4460000000001,0,0.19999999999999998,1531,2,1,0,,,
18,floor,2.935845e-05,t11,1531.0,1531,0,0,wizard,z-ai/glm-5.3-flash,1,1513,1513,349.4460000000001,0,0.19999999999999998,1531,0,1,0,,,
