config,block,h,q0,p,r_fallback,sigma,silent_penalty,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,cheapest_policy,best_vs_naive
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,autorpa_233k,always_reactive,19497801224.0,1.274928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,ours_noinflate,0.944733
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,autorpa_233k,always_compile_evict,16187917554.8,1.0585,89.7,141.1,18980.6,4427.9,0.0,92083.9,18770.5,0.152,ours_noinflate,0.944733
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,autorpa_233k,ours_evict,19951739189.7,1.30461,19.5,37.4,1430.9,169.8,0.0,3492.6,1371.9,0.029,ours_noinflate,0.944733
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,autorpa_233k,ours_noinflate,15293261387.6,1.0,77.7,113.1,16129.4,4252.8,0.0,88372.3,15996.0,0.121,ours_noinflate,0.944733
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,autorpa_233k,oracle_tax,19199512251.0,1.255423,24.1,35.9,887.4,238.5,0.0,4911.0,749.7,0.007,ours_noinflate,0.944733
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,autorpa_233k,offline_taxblind,12874218266.827,0.841823,,,,,,,,,ours_noinflate,0.944733
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,autorpa_233k,offline_opt_tax,13415890457.269,0.877242,,,,,,,,,ours_noinflate,0.944733
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,native,always_reactive,19497801224.0,1.960249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,native,always_compile_evict,9935035139.1,0.998838,7.6,26.7,18980.6,4427.9,0.0,92083.9,16722.0,0.035,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,native,ours_evict,18001230513.3,1.809788,2.3,16.7,5910.8,766.9,0.0,16015.9,4305.4,0.009,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,native,ours_noinflate,9946594679.8,1.0,7.6,26.6,18757.8,4419.7,0.0,91927.5,16565.7,0.035,always_compile_evict,1.0
h=0.02/q0=0.4/p=0.3/r=1/sig=0,A_core,0.02,0.4,0.3,1.0,0.0,1.0,bpi2019,native,oracle_tax,18739550360.3,1.884017,53.8,55.3,1475.6,388.6,0.0,8038.2,1291.4,0.01,always_compile_evict,1.0
