config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,always_reactive,77101119.0,0.992009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,always_reactive,0.841795
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,always_compile_evict,91591347.667,1.178445,11.333,11.333,75.667,7.667,0.0,36.667,72.667,0.009,56.0,13048000.0,always_reactive,0.841795
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_noinflate,77722175.667,1.0,0.333,0.333,3.0,0.0,0.0,0.667,3.0,0.005,2.667,621333.333,always_reactive,0.841795
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,oracle_tax,77101119.0,0.992009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,always_reactive,0.841795
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_spend_cap,77722175.667,1.0,0.333,0.333,3.0,0.0,0.0,0.667,3.0,0.005,2.667,621333.333,always_reactive,0.841795
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_pi_prior,78033119.0,1.004001,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.005,4.0,932000.0,always_reactive,0.841795
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,ours_both,78033119.0,1.004001,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.005,4.0,932000.0,always_reactive,0.841795
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,offline_taxblind,77101119.0,0.992009,,,,,,,,,,,always_reactive,0.841795
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,sepsis,autorpa_233k,offline_opt_tax,77101119.0,0.992009,,,,,,,,,,,always_reactive,0.841795
h=0.1/q0=0.4/p=0.3/r=1/sig=0/cf=1,quick,0.1,0.4,0.3,1.0,0.0,1.0,1.0,sepsis,native,always_reactive,77101119.0,1.028117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,ours_pi_prior,0.999966
