config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_reactive,19497801224.0,1.234375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,ours_noinflate,0.97577
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_compile_evict,16187917554.8,1.024832,89.7,141.1,18980.6,4427.9,0.0,92083.9,18770.5,0.152,13277.9,3093750700.0,ours_noinflate,0.97577
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_noinflate,15795686301.6,1.0,73.2,110.2,14743.3,3821.8,0.0,79433.4,14619.1,0.117,10310.0,2402230000.0,ours_noinflate,0.97577
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,oracle_tax,19199512251.0,1.215491,24.1,35.9,887.4,238.5,0.0,4911.0,749.7,0.007,624.8,145578400.0,ours_noinflate,0.97577
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_spend_cap,20411240111.0,1.292203,44.7,79.5,3484.7,509.3,0.0,10523.4,3336.1,0.064,2441.2,568799600.0,ours_noinflate,0.97577
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pi_prior,16967231741.0,1.074169,68.7,97.4,11148.9,2803.7,0.0,58434.3,11041.0,0.097,7802.2,1817912600.0,ours_noinflate,0.97577
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_both,20323674383.3,1.28666,42.4,72.7,3085.0,443.2,0.0,9153.0,2964.3,0.058,2166.2,504724600.0,ours_noinflate,0.97577
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,breakeven,19780169892.8,1.252251,1.2,11.5,1543.4,72.4,0.0,1498.5,1442.6,0.009,1083.8,252525400.0,ours_noinflate,0.97577
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,breakeven_cap,19773490892.9,1.251829,0.8,11.0,1467.0,64.5,0.0,1334.9,1376.0,0.008,1030.8,240176400.0,ours_noinflate,0.97577
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,offline_taxblind,12874218266.827,0.815046,,,,,,,,,,,ours_noinflate,0.97577
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,offline_opt_tax,13415890457.269,0.849339,,,,,,,,,,,ours_noinflate,0.97577
