config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=11.0877,A_core,0.02,0.4,0.3,1.0,0.0,1.0,11.087667012373094,bpi2019,autorpa_233k,always_reactive,26858149732.486,0.658429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,always_reactive,0.528642
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=11.0877,A_core,0.02,0.4,0.3,1.0,0.0,1.0,11.087667012373094,bpi2019,autorpa_233k,always_compile_evict,50805979733.108,1.245511,89.7,141.1,18980.6,4427.9,0.0,92083.9,18631.5,0.048,13277.9,34302477580.896,always_reactive,0.528642
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=11.0877,A_core,0.02,0.4,0.3,1.0,0.0,1.0,11.087667012373094,bpi2019,autorpa_233k,ours_noinflate,40791274629.939,1.0,62.9,96.2,13654.8,3523.9,0.0,73306.3,13392.7,0.041,9546.5,24662680260.133,always_reactive,0.528642
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=11.0877,A_core,0.02,0.4,0.3,1.0,0.0,1.0,11.087667012373094,bpi2019,autorpa_233k,oracle_tax,27880816734.592,0.6835,31.3,37.5,1268.9,347.6,0.0,7127.4,1084.3,0.007,890.0,2299249508.356,always_reactive,0.528642
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=11.0877,A_core,0.02,0.4,0.3,1.0,0.0,1.0,11.087667012373094,bpi2019,autorpa_233k,ours_spend_cap,29263090623.909,0.717386,16.2,31.1,1304.3,125.3,0.0,2570.4,1232.5,0.017,910.1,2351176379.275,always_reactive,0.528642
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=11.0877,A_core,0.02,0.4,0.3,1.0,0.0,1.0,11.087667012373094,bpi2019,autorpa_233k,ours_cap_epoch,29319788943.976,0.718776,16.5,32.3,1343.7,133.2,0.0,2719.7,1269.1,0.017,939.6,2427387458.484,always_reactive,0.528642
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=11.0877,A_core,0.02,0.4,0.3,1.0,0.0,1.0,11.087667012373094,bpi2019,autorpa_233k,ours_cap_realized,29503620142.231,0.723283,18.4,34.3,1523.1,181.1,0.0,3656.2,1439.3,0.018,1066.2,2754449242.482,always_reactive,0.528642
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=11.0877,A_core,0.02,0.4,0.3,1.0,0.0,1.0,11.087667012373094,bpi2019,autorpa_233k,ours_pi_prior,38852943245.753,0.952482,62.0,90.9,11785.9,3005.8,0.0,62416.9,11539.7,0.04,8243.0,21295183929.637,always_reactive,0.528642
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=11.0877,A_core,0.02,0.4,0.3,1.0,0.0,1.0,11.087667012373094,bpi2019,autorpa_233k,breakeven,29767923809.373,0.729762,4.3,10.8,1644.0,75.5,0.0,1545.6,1509.5,0.006,1153.2,2979207340.49,always_reactive,0.528642
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=11.0877,A_core,0.02,0.4,0.3,1.0,0.0,1.0,11.087667012373094,bpi2019,autorpa_233k,breakeven_cap_epoch,28330502784.339,0.694524,3.2,7.0,809.9,25.5,0.0,528.5,759.7,0.005,567.5,1466094489.879,always_reactive,0.528642
