config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_reactive,55345222128.083,1.694831,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_noinflate,0.98923
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_compile_evict,33010816231.01,1.010887,89.7,141.1,18980.6,4427.9,0.0,92083.9,17991.5,0.074,13277.9,3093750700.0,ours_noinflate,0.98923
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_noinflate,32655304816.158,1.0,76.8,119.1,15828.8,3952.6,0.0,82233.1,14978.6,0.064,11061.8,2577399400.0,ours_noinflate,0.98923
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,oracle_tax,49494658855.378,1.51567,62.1,68.1,3104.3,876.1,0.0,18274.1,2663.0,0.009,2166.1,504701300.0,ours_noinflate,0.98923
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_spend_cap,52087035726.252,1.595056,58.0,103.6,5687.1,940.9,0.0,19494.1,5083.7,0.034,3975.2,926221600.0,ours_noinflate,0.98923
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_epoch,32727548129.575,1.002212,75.1,117.4,15248.9,3778.8,0.0,78621.9,14395.6,0.063,10661.0,2484013000.0,ours_noinflate,0.98923
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_realized,32658298928.821,1.000092,76.5,118.8,15741.5,3925.9,0.0,81631.2,14891.7,0.064,11002.5,2563582500.0,ours_noinflate,0.98923
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pi_prior,32755171040.143,1.003058,73.7,113.8,15211.4,3804.5,0.0,79086.6,14379.0,0.061,10642.4,2479679200.0,ours_noinflate,0.98923
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,breakeven,55554215626.042,1.701231,2.8,16.5,2586.5,85.9,0.0,1762.6,2334.9,0.004,1808.1,421287300.0,ours_noinflate,0.98923
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,breakeven_cap_epoch,55550992160.053,1.701132,2.8,16.6,2559.1,83.3,0.0,1736.6,2309.9,0.004,1789.8,417023400.0,ours_noinflate,0.98923
