config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_reactive,26858149732.486,0.883199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_compile_evict,415018947945.977,13.647415,13.8,29.1,154698.8,1686.1,0.0,34783.6,154462.0,0.001,152475.0,393907942456.754,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_noinflate,30410076692.61,1.0,10.8,24.9,5462.8,1589.6,0.0,32807.5,5284.4,0.013,3615.0,9339086486.187,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,oracle_tax,26672007969.64,0.877078,10.4,12.2,70.0,59.6,0.0,1179.2,43.9,0.005,0.0,0.0,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_epoch,23385740273.25,0.769013,10.8,24.9,2743.8,1589.6,0.0,32807.5,2565.4,0.016,896.0,2314750066.839,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_realized,23385740273.25,0.769013,10.8,24.9,2743.8,1589.6,0.0,32807.5,2565.4,0.016,896.0,2314750066.839,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pop_prior,28759479472.402,0.945722,10.9,24.7,4799.0,1584.7,0.0,32708.4,4629.1,0.013,2973.5,7681818441.681,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pop_prior_s4,31230054236.709,1.026964,10.7,24.4,5731.5,1578.7,0.0,32603.5,5571.5,0.012,3927.5,10146407240.525,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pop_cap_epoch,23554295654.465,0.774556,10.6,25.6,2848.5,1594.5,0.0,32898.0,2660.1,0.016,961.3,2483447811.666,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pop_cap_realized,23554295654.465,0.774556,10.6,25.6,2848.5,1594.5,0.0,32898.0,2660.1,0.016,961.3,2483447811.666,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,breakeven,115660891066.355,3.803374,1.0,3.1,34569.3,19.4,0.0,367.4,34525.0,0.001,34379.0,88815616682.884,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,offline_taxblind,20683596256.987,0.680156,,,,,,,,,,,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,offline_opt_tax,20874335016.554,0.686428,,,,,,,,,,,ours_cap_epoch,0.056349
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,native,always_reactive,26858149732.486,0.917211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,ours_cap_epoch,0.113746
