config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_reactive,55345222128.083,1.473243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_cap_epoch,0.535309
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_compile_evict,69494356657.304,1.849881,37.1,61.0,73323.0,3341.0,0.0,69286.3,72033.4,0.013,68649.0,33317935586.772,ours_cap_epoch,0.535309
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_noinflate,37566924020.476,1.0,35.0,57.3,6854.5,3276.7,0.0,67978.0,5746.1,0.023,2689.0,1305072598.186,ours_cap_epoch,0.535309
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,oracle_tax,50229305601.213,1.337062,60.6,62.7,784.9,724.3,0.0,15271.0,450.7,0.008,0.0,0.0,ours_cap_epoch,0.535309
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_epoch,37200979528.459,0.990259,35.0,57.3,6100.5,3276.7,0.0,67978.0,4992.1,0.023,1935.0,939128106.169,ours_cap_epoch,0.535309
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_realized,37200979528.459,0.990259,35.0,57.3,6100.5,3276.7,0.0,67978.0,4992.1,0.023,1935.0,939128106.169,ours_cap_epoch,0.535309
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pop_prior,37739667596.372,1.004598,35.5,57.8,7269.2,3280.0,0.0,68065.7,6135.6,0.023,3056.7,1483531205.234,ours_cap_epoch,0.535309
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pop_prior_s4,38265938027.688,1.018607,34.6,56.9,8252.3,3270.8,0.0,67869.6,7149.4,0.022,4086.8,1983477387.232,ours_cap_epoch,0.535309
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pop_cap_epoch,37234849562.091,0.99116,34.8,57.6,6322.7,3287.3,0.0,68210.0,5157.7,0.023,2055.1,997417142.63,ours_cap_epoch,0.535309
h=0.02/q0=0.4/p=mixed/r=1/sig=0,M_core,0.02,0.4,-1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pop_cap_realized,37234849562.091,0.99116,34.8,57.6,6322.7,3287.3,0.0,68210.0,5157.7,0.023,2055.1,997417142.63,ours_cap_epoch,0.535309
