config,p,q0,lifetime,stream,price,policy,mean_tokens,rel_to_ours_evict,mean_final_library,mean_max_library,mean_n_compiles,mean_wasted_compiles,mean_wasted_compiles_tax,mean_wasted_tax_tokens,mean_tax_share,cheapest_policy
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,autorpa_233k,always_reactive,19497801224.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004751,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,autorpa_233k,always_compile_evict,10634482616.2,0.54542,144.8,224.5,8600.1,8011.8,8436.1,2718653055.3,0.365,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,autorpa_233k,always_compile_evict_abandon,18027996487.4,0.924617,50.9,83.7,4175.4,3940.4,4118.0,1110421858.0,0.083483,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,autorpa_233k,on_second,17446523743.0,0.894794,866.8,866.8,8600.1,8011.8,8511.7,9544732388.1,0.612885,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,autorpa_233k,ours_evict,19497801224.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004751,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,autorpa_233k,oracle_tax,7144703145.8,0.366436,83.2,83.2,831.1,747.9,747.9,0.0,0.16077,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,autorpa_233k,offline_taxblind,5532786298.811,0.283765,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,autorpa_233k,offline_opt_tax,6703376288.114,0.343802,,,,,,,,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,native,always_reactive,19497801224.0,1.204392,0.0,0.0,0.0,0.0,0.0,0.0,0.004751,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,native,always_compile_evict,5709019807.0,0.35265,34.7,60.9,8600.1,7733.3,7741.0,398398.0,0.146212,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,native,always_compile_evict_abandon,15930006497.0,0.984007,10.2,20.5,4175.4,3751.3,3756.2,244207.6,0.018815,always_compile_evict
p=0.1/q0=0.17/life=10,0.1,0.17,10,bpi2019,native,on_second,15567823297.9,0.961634,866.8,866.8,8600.1,7733.3,8508.9,9539372433.5,0.686842,always_compile_evict
