config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive,model
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_reactive,28364744721.458,1.939754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_compile_evict,14591761946.355,0.997873,57.0,86.0,1902.0,0.0,0.0,0.0,1148.0,0.088,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_noinflate,14622859218.054,1.0,45.0,69.0,1020.0,0.0,0.0,0.0,451.0,0.074,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,oracle_tax,15936263704.72,1.089819,127.0,127.0,127.0,0.0,0.0,0.0,0.0,0.094,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_spend_cap,14622859218.054,1.0,45.0,69.0,1020.0,0.0,0.0,0.0,451.0,0.074,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_epoch,14622859218.054,1.0,45.0,69.0,1020.0,0.0,0.0,0.0,451.0,0.074,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_realized,14622859218.054,1.0,45.0,69.0,1020.0,0.0,0.0,0.0,451.0,0.074,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pi_prior,14746605152.889,1.008462,44.0,64.0,924.0,0.0,0.0,0.0,388.0,0.071,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,breakeven,28142502166.538,1.924555,2.0,10.0,750.0,0.0,0.0,0.0,366.0,0.004,0.0,0.0,always_compile_evict,1.0,android_ds
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,breakeven_cap_epoch,28142502166.538,1.924555,2.0,10.0,750.0,0.0,0.0,0.0,366.0,0.004,0.0,0.0,always_compile_evict,1.0,android_ds
