config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive,model
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_reactive,45569286836.359,2.073356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_compile_evict,21860284737.497,0.99462,57.0,86.0,1902.0,0.0,0.0,0.0,837.0,0.059,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_noinflate,21978520537.076,1.0,56.0,83.0,1287.0,0.0,0.0,0.0,440.0,0.057,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,oracle_tax,23943280767.988,1.089395,153.0,153.0,153.0,0.0,0.0,0.0,0.0,0.072,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_spend_cap,21978520537.076,1.0,56.0,83.0,1287.0,0.0,0.0,0.0,440.0,0.057,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_epoch,21978520537.076,1.0,56.0,83.0,1287.0,0.0,0.0,0.0,440.0,0.057,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_realized,21978520537.076,1.0,56.0,83.0,1287.0,0.0,0.0,0.0,440.0,0.057,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pi_prior,22310767931.017,1.015117,50.0,75.0,1200.0,0.0,0.0,0.0,393.0,0.053,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,breakeven,45271167809.7,2.059791,0.0,9.0,1055.0,0.0,0.0,0.0,586.0,0.003,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,breakeven_cap_epoch,45271167809.7,2.059791,0.0,9.0,1055.0,0.0,0.0,0.0,586.0,0.003,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,offline_taxblind,19980683748.706,0.9091,,,,,,,,,,,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,offline_opt_tax,20693712478.736,0.941543,,,,,,,,,,,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,always_reactive,45569286836.359,2.005584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,always_compile_evict,22660806286.301,0.997342,54.0,102.0,1902.0,0.0,0.0,0.0,939.0,0.076,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,ours_noinflate,22721208415.369,1.0,50.0,95.0,1252.0,0.0,0.0,0.0,489.0,0.068,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,oracle_tax,23972636836.502,1.055078,140.0,140.0,140.0,0.0,0.0,0.0,0.0,0.07,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,ours_spend_cap,22721208415.369,1.0,50.0,95.0,1252.0,0.0,0.0,0.0,489.0,0.068,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,ours_cap_epoch,22721208415.369,1.0,50.0,95.0,1252.0,0.0,0.0,0.0,489.0,0.068,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,ours_cap_realized,22721208415.369,1.0,50.0,95.0,1252.0,0.0,0.0,0.0,489.0,0.068,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,ours_pi_prior,22773208487.676,1.002289,51.0,95.0,1200.0,0.0,0.0,0.0,475.0,0.067,0.0,0.0,always_compile_evict,1.0,android_glm
h=0/q0=0.4/p=1/r=1/sig=0/cf=1,A_core,0.0,0.4,1.0,1.0,0.0,1.0,1.0,bpi2019,native,breakeven,45243743485.791,1.991256,1.0,10.0,964.0,0.0,0.0,0.0,484.0,0.003,0.0,0.0,always_compile_evict,1.0,android_glm
