config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,always_reactive,28364744721.458,1.036508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,always_compile_evict,51048553639.539,1.865422,90.8,139.4,19288.5,4483.5,0.0,91995.4,18752.7,0.048,13532.9,33137845639.69,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,ours_noinflate,27365680442.392,1.0,11.1,28.3,1209.5,218.6,0.0,4427.2,1016.5,0.016,846.6,2073058998.335,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,oracle_tax,27528835704.21,1.005962,46.7,55.1,1666.2,443.3,0.0,8904.0,1418.9,0.017,1176.2,2880146460.951,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,ours_spend_cap,28650477840.385,1.046949,8.0,23.4,742.7,89.0,0.0,1821.2,606.8,0.013,521.8,1277725236.63,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,ours_cap_epoch,28120743631.411,1.027592,9.4,25.8,923.3,137.1,0.0,2800.5,756.9,0.015,648.2,1587239360.643,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,ours_cap_realized,27359835176.603,0.999786,10.7,27.6,1178.7,212.9,0.0,4318.7,987.9,0.016,823.1,2015514837.62,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,ours_pi_prior,27412147150.343,1.001698,9.3,29.4,1237.3,222.8,0.0,4527.6,1050.4,0.017,866.1,2120808408.289,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,breakeven,31561537502.548,1.153326,2.7,15.3,1973.7,79.3,0.0,1605.1,1716.2,0.006,1384.4,3389963238.004,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,breakeven_cap_epoch,30205975136.093,1.10379,1.8,10.7,1143.8,31.4,0.0,647.9,989.0,0.005,800.1,1959195020.751,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,offline_taxblind,16938126892.377,0.618955,,,,,,,,,,,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,offline_opt_tax,17662864510.341,0.645439,,,,,,,,,,,ours_cap_realized,0.535957
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,always_reactive,28364744721.458,1.030227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,always_compile_evict,60395033025.41,2.19359,90.7,142.6,19288.5,4483.5,0.0,91995.4,18743.0,0.042,13532.9,42061827660.945,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,ours_noinflate,27532512465.605,1.0,12.6,30.5,1318.5,234.9,0.0,4740.2,1121.7,0.017,922.1,2226591600.329,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,oracle_tax,27489820744.439,0.998449,46.1,51.5,1648.7,439.4,0.0,8799.2,1406.0,0.017,1163.2,2830392266.446,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,ours_spend_cap,28797310011.056,1.045938,9.4,25.8,846.8,103.3,0.0,2091.3,706.4,0.014,594.7,1411978103.712,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,ours_cap_epoch,28275812789.206,1.026997,10.8,28.0,1030.4,152.8,0.0,3099.2,859.8,0.016,722.5,1730232008.839,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,ours_cap_realized,27523245404.853,0.999663,12.2,29.8,1285.2,228.3,0.0,4612.2,1090.7,0.017,897.0,2164468320.241,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,ours_pi_prior,27446015994.436,0.996858,10.0,30.1,1265.1,227.2,0.0,4624.8,1077.9,0.017,884.2,2147089690.875,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,breakeven,31679583221.436,1.150624,2.0,14.7,1985.4,77.6,0.0,1646.5,1734.6,0.006,1391.5,3513054183.711,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,breakeven_cap_epoch,30317835430.457,1.101165,1.1,10.6,1201.4,33.9,0.0,721.2,1045.0,0.005,840.6,2072008357.052,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,offline_taxblind,17762392871.554,0.645142,,,,,,,,,,,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,offline_opt_tax,18398294802.924,0.668239,,,,,,,,,,,ours_pi_prior,0.454442
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,always_reactive,187135368.565,0.979019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,always_compile_evict,275116825.218,1.439303,12.9,13.9,59.5,2.1,0.0,42.0,53.7,0.004,42.2,103334620.517,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,ours_noinflate,191145844.904,1.0,1.2,1.6,6.8,0.6,0.0,8.8,5.0,0.002,5.0,12243438.45,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,oracle_tax,193414731.839,1.01187,2.0,2.3,12.9,1.3,0.0,19.8,9.6,0.003,9.6,23507401.824,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,ours_spend_cap,191145844.904,1.0,1.2,1.6,6.8,0.6,0.0,8.8,5.0,0.002,5.0,12243438.45,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,ours_cap_epoch,191145844.904,1.0,1.2,1.6,6.8,0.6,0.0,8.8,5.0,0.002,5.0,12243438.45,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,ours_cap_realized,191145844.904,1.0,1.2,1.6,6.8,0.6,0.0,8.8,5.0,0.002,5.0,12243438.45,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,ours_pi_prior,190888595.353,0.998654,0.8,1.1,4.5,0.4,0.0,4.6,3.3,0.002,3.3,8080669.377,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,breakeven,206971046.454,1.082791,1.7,2.4,16.0,1.0,0.0,11.5,12.4,0.002,12.0,29384252.28,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,breakeven_cap_epoch,197582552.262,1.033674,1.5,2.0,11.1,0.8,0.0,11.2,8.6,0.002,8.3,20324107.827,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,offline_taxblind,166233739.664,0.86967,,,,,,,,,,,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,offline_opt_tax,166555387.304,0.871352,,,,,,,,,,,always_reactive,0.680203
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,native,always_reactive,187135368.565,0.977591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,always_reactive,0.649796
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,native,always_compile_evict,287991132.158,1.50446,12.4,13.2,59.5,2.1,0.0,42.0,53.6,0.003,42.2,116099059.425,always_reactive,0.649796
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,native,ours_noinflate,191424954.935,1.0,1.2,1.6,6.8,0.6,0.0,8.8,5.0,0.002,5.0,12513233.818,always_reactive,0.649796
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,native,oracle_tax,192197829.626,1.004037,2.0,2.3,12.2,1.3,0.0,19.8,8.9,0.003,8.9,22273556.196,always_reactive,0.649796
