config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_reactive,45569286836.359,1.581209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,always_compile_evict,29033592370.817,1.007437,90.8,139.4,19288.5,4483.5,0.0,91995.4,18370.1,0.084,13532.9,3153165700.0,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_noinflate,28819265835.261,1.0,74.7,115.1,15701.5,3866.8,0.0,79264.9,14900.1,0.07,11029.9,2569966700.0,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,oracle_tax,39785410852.07,1.380514,59.6,66.5,2730.3,747.5,0.0,15151.3,2338.4,0.011,1923.2,448105600.0,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_spend_cap,42187178016.836,1.463853,55.8,96.1,5319.2,828.3,0.0,16736.5,4682.1,0.039,3737.9,870930700.0,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_epoch,30356346763.495,1.053335,67.6,108.6,11745.9,2710.7,0.0,55261.2,10900.2,0.062,8245.6,1921224800.0,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_cap_realized,28841376576.79,1.000767,73.5,114.2,15468.8,3800.8,0.0,77802.5,14667.9,0.069,10867.0,2532011000.0,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,ours_pi_prior,28765050908.029,0.998119,71.6,111.0,15521.3,3886.2,0.0,79654.6,14743.2,0.067,10893.4,2538162200.0,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,breakeven,45725760847.079,1.586639,2.8,18.5,2685.0,88.8,0.0,1871.7,2356.3,0.005,1879.1,437830300.0,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,breakeven_cap_epoch,45726436267.058,1.586662,2.7,18.3,2650.9,87.7,0.0,1807.3,2325.2,0.005,1854.6,432121800.0,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,offline_taxblind,24872254515.18,0.863043,,,,,,,,,,,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,autorpa_233k,offline_opt_tax,25915543627.917,0.899244,,,,,,,,,,,ours_pi_prior,0.990751
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,native,always_reactive,45569286836.359,1.369285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,ours_noinflate,0.992566
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,native,always_compile_evict,33528855259.842,1.007489,99.4,167.5,19288.5,4483.5,0.0,91995.4,18385.0,0.088,13532.9,5958038532.773,ours_noinflate,0.992566
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,native,ours_noinflate,33279615735.405,1.0,76.8,124.1,16273.9,4038.2,0.0,82842.3,15489.3,0.063,11426.2,4848608573.0,ours_noinflate,0.992566
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,native,oracle_tax,42045072891.11,1.263388,53.4,62.8,2286.7,624.6,0.0,12592.9,1937.8,0.009,1608.7,1047279563.907,ours_noinflate,0.992566
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,native,ours_spend_cap,44392064142.299,1.333912,55.4,101.3,5363.5,845.9,0.0,17286.2,4750.0,0.038,3765.2,1216074853.893,ours_noinflate,0.992566
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,native,ours_cap_epoch,40441997316.791,1.215218,68.4,115.5,9887.1,2153.5,0.0,44292.3,9162.7,0.048,6940.9,2175513873.42,ours_noinflate,0.992566
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,native,ours_cap_realized,33302746914.532,1.000695,75.7,122.5,16178.0,4013.2,0.0,82339.0,15394.4,0.062,11359.2,4822423021.213,ours_noinflate,0.992566
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,native,ours_pi_prior,35896681617.748,1.078639,68.5,118.0,14574.1,3603.5,0.0,73983.6,13886.3,0.055,10226.1,3795878803.24,ours_noinflate,0.992566
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=1,A_core,0.02,0.4,0.3,1.0,0.0,1.0,1.0,bpi2019,native,breakeven,45964092924.837,1.381149,4.0,16.1,2534.2,94.8,0.0,1904.4,2186.3,0.005,1773.3,560768272.587,ours_noinflate,0.992566
