cost_set,stream,price,row,mean_tokens,ratio_to_ours
android_ds,bpi2019,5M,ours,28364744721.457897,1.0
android_ds,bpi2019,5M,always_reactive,28364744721.457897,1.0
android_ds,bpi2019,5M,narrow_trigger,29848750795.07134,1.052318682511914
android_ds,bpi2019,5M,fixed_cooldown,28364744721.457897,1.0
android_ds,bpi2019,5M,no_decay,28364744721.457897,1.0
android_ds,bpi2019,5M,gamma_prior,28364744721.457897,1.0
android_ds,bpi2019,5M,fixed_horizon,28364744721.457897,1.0
android_ds,bpi2019,5M,no_spend_cap,28364744721.457897,1.0
android_ds,bpi2019,native,ours,28373294669.605865,1.0
android_ds,bpi2019,native,always_reactive,28364744721.457897,0.9996986621311509
android_ds,bpi2019,native,narrow_trigger,31901162547.574074,1.1243376181387685
android_ds,bpi2019,native,fixed_cooldown,29077166091.885864,1.0248075322403076
android_ds,bpi2019,native,no_decay,28002220144.24897,0.9869216976851688
android_ds,bpi2019,native,gamma_prior,28373511526.946552,1.0000076430087945
android_ds,bpi2019,native,fixed_horizon,28115410529.093834,0.9909110258954776
android_ds,bpi2019,native,no_spend_cap,28373294669.605865,1.0
android_ds,sepsis,5M,ours,187135368.5645987,1.0
android_ds,sepsis,5M,always_reactive,187135368.5645987,1.0
android_ds,sepsis,5M,narrow_trigger,292229260.83829105,1.5615928890396482
android_ds,sepsis,5M,fixed_cooldown,187135368.5645987,1.0
android_ds,sepsis,5M,no_decay,187135368.5645987,1.0
android_ds,sepsis,5M,gamma_prior,187135368.5645987,1.0
android_ds,sepsis,5M,fixed_horizon,187135368.5645987,1.0
android_ds,sepsis,5M,no_spend_cap,187135368.5645987,1.0
android_ds,sepsis,native,ours,197145955.61914468,1.0
android_ds,sepsis,native,always_reactive,187135368.5645987,0.949222457934238
android_ds,sepsis,native,narrow_trigger,244798304.93063682,1.2417110163981708
android_ds,sepsis,native,fixed_cooldown,222172423.2555088,1.126943855164401
android_ds,sepsis,native,no_decay,197145955.61914468,1.0
android_ds,sepsis,native,gamma_prior,197145955.61914468,1.0
android_ds,sepsis,native,fixed_horizon,187135368.5645987,0.949222457934238
android_ds,sepsis,native,no_spend_cap,197145955.61914468,1.0
android_ds,wiki_A,5M,ours,19487424199.809628,1.0
android_ds,wiki_A,5M,always_reactive,19487424199.809628,1.0
android_ds,wiki_A,5M,narrow_trigger,19938251197.630413,1.023134252798027
android_ds,wiki_A,5M,fixed_cooldown,19487424199.809628,1.0
android_ds,wiki_A,5M,no_decay,19487424199.809628,1.0
android_ds,wiki_A,5M,gamma_prior,19487424199.809628,1.0
android_ds,wiki_A,5M,fixed_horizon,19487424199.809628,1.0
android_ds,wiki_A,5M,no_spend_cap,19487424199.809628,1.0
android_ds,wiki_A,native,ours,19441549398.73463,1.0
android_ds,wiki_A,native,always_reactive,19487424199.809628,1.0023596268041262
android_ds,wiki_A,native,narrow_trigger,19543144842.29762,1.0052256865684583
android_ds,wiki_A,native,fixed_cooldown,19744093217.004173,1.0155617133215336
android_ds,wiki_A,native,no_decay,19345682263.41358,0.9950689560098904
android_ds,wiki_A,native,gamma_prior,19435003650.787918,0.9996633114052557
android_ds,wiki_A,native,fixed_horizon,19561355188.029617,1.0061623580938865
android_ds,wiki_A,native,no_spend_cap,19441549398.73463,1.0
android_ds,wiki_B,5M,ours,16977748066.618664,1.0
android_ds,wiki_B,5M,always_reactive,16977748066.618664,1.0
android_ds,wiki_B,5M,narrow_trigger,20149246355.833767,1.1868032366112704
android_ds,wiki_B,5M,fixed_cooldown,16977748066.618664,1.0
android_ds,wiki_B,5M,no_decay,16977748066.618664,1.0
android_ds,wiki_B,5M,gamma_prior,16977748066.618664,1.0
android_ds,wiki_B,5M,fixed_horizon,16977748066.618664,1.0
android_ds,wiki_B,5M,no_spend_cap,16977748066.618664,1.0
android_ds,wiki_B,native,ours,17838546420.467144,1.0
android_ds,wiki_B,native,always_reactive,16977748066.618664,0.9517450394466649
android_ds,wiki_B,native,narrow_trigger,21985293190.666218,1.2324599029796106
android_ds,wiki_B,native,fixed_cooldown,18506782376.488182,1.037460224632111
android_ds,wiki_B,native,no_decay,17213673650.545994,0.9649706452985317
android_ds,wiki_B,native,gamma_prior,17836044569.91498,0.9998597503129912
android_ds,wiki_B,native,fixed_horizon,17015287768.073145,0.9538494542666643
android_ds,wiki_B,native,no_spend_cap,17838546420.467144,1.0
android_glm,bpi2019,5M,ours,23251016331.77835,1.0
android_glm,bpi2019,5M,always_reactive,45569286836.35857,1.9598836535191235
android_glm,bpi2019,5M,narrow_trigger,10503829276.63754,0.45175785551711223
android_glm,bpi2019,5M,fixed_cooldown,23251016331.77835,1.0
android_glm,bpi2019,5M,no_decay,24664963101.947952,1.0608122565479896
android_glm,bpi2019,5M,gamma_prior,23256222984.212387,1.0002239322513795
android_glm,bpi2019,5M,fixed_horizon,45714284743.81479,1.966119850052952
android_glm,bpi2019,5M,no_spend_cap,23251016331.77835,1.0
android_glm,bpi2019,native,ours,15965918931.86382,1.0
android_glm,bpi2019,native,always_reactive,45569286836.35857,2.8541599785662277
android_glm,bpi2019,native,narrow_trigger,19959147073.414467,1.2501095087975929
android_glm,bpi2019,native,fixed_cooldown,15965918931.86382,1.0
android_glm,bpi2019,native,no_decay,13809444149.538696,0.8649326235759998
android_glm,bpi2019,native,gamma_prior,15892531359.778233,0.9954034858626819
android_glm,bpi2019,native,fixed_horizon,20455128512.91166,1.2811745193124178
android_glm,bpi2019,native,no_spend_cap,15965918931.86382,1.0
android_glm,sepsis,5M,ours,226098156.76587048,1.0
android_glm,sepsis,5M,always_reactive,226623379.80364805,1.002322986818161
android_glm,sepsis,5M,narrow_trigger,227083368.62661117,1.0043574519794114
android_glm,sepsis,5M,fixed_cooldown,226098156.76587048,1.0
android_glm,sepsis,5M,no_decay,227083368.62661117,1.0043574519794114
android_glm,sepsis,5M,gamma_prior,226098156.76587048,1.0
android_glm,sepsis,5M,fixed_horizon,226623379.80364805,1.002322986818161
android_glm,sepsis,5M,no_spend_cap,226098156.76587048,1.0
android_glm,sepsis,native,ours,194887109.56787893,1.0
android_glm,sepsis,native,always_reactive,226623379.80364805,1.1628443785027014
android_glm,sepsis,native,narrow_trigger,194998161.88587183,1.0005698289550249
android_glm,sepsis,native,fixed_cooldown,194887109.56787893,1.0
android_glm,sepsis,native,no_decay,194853961.20587182,0.9998299099305202
android_glm,sepsis,native,gamma_prior,194887109.56787893,1.0
android_glm,sepsis,native,fixed_horizon,201516720.02438918,1.0340176960457261
android_glm,sepsis,native,no_spend_cap,194887109.56787893,1.0
android_glm,wiki_A,5M,ours,4638786898.18381,1.0
android_glm,wiki_A,5M,always_reactive,18647813056.4936,4.019976227792365
android_glm,wiki_A,5M,narrow_trigger,1907293419.3643737,0.41116211225635785
android_glm,wiki_A,5M,fixed_cooldown,4638786898.18381,1.0
android_glm,wiki_A,5M,no_decay,4564619844.244683,0.984011541041438
android_glm,wiki_A,5M,gamma_prior,4672274079.488786,1.0072189522907566
android_glm,wiki_A,5M,fixed_horizon,5255994873.731812,1.1330537463985795
android_glm,wiki_A,5M,no_spend_cap,4638786898.18381,1.0
android_glm,wiki_A,native,ours,1586773857.3817372,1.0
android_glm,wiki_A,native,always_reactive,18647813056.4936,11.752029421043966
android_glm,wiki_A,native,narrow_trigger,1584219900.337519,0.9983904719425915
android_glm,wiki_A,native,fixed_cooldown,1586773857.3817372,1.0
android_glm,wiki_A,native,no_decay,1545275844.607056,0.97384755705318
android_glm,wiki_A,native,gamma_prior,1594479197.8900533,1.004855978986842
android_glm,wiki_A,native,fixed_horizon,1680175181.5882661,1.0588624042247874
android_glm,wiki_A,native,no_spend_cap,1586773857.3817372,1.0
android_glm,wiki_B,5M,ours,19274226829.85438,1.0
android_glm,wiki_B,5M,always_reactive,20990872303.51029,1.0890642975622216
android_glm,wiki_B,5M,narrow_trigger,18353938849.30387,0.9522529236231125
android_glm,wiki_B,5M,fixed_cooldown,19274226829.85438,1.0
android_glm,wiki_B,5M,no_decay,18573811792.83555,0.963660537815507
android_glm,wiki_B,5M,gamma_prior,19288996538.515003,1.000766293184728
android_glm,wiki_B,5M,fixed_horizon,21009759287.667377,1.0900442063452724
android_glm,wiki_B,5M,no_spend_cap,19274226829.85438,1.0
android_glm,wiki_B,native,ours,19203454153.882515,1.0
android_glm,wiki_B,native,always_reactive,20990872303.51029,1.0930779502117016
android_glm,wiki_B,native,narrow_trigger,20555923942.292023,1.0704284644612265
android_glm,wiki_B,native,fixed_cooldown,19203454153.882515,1.0
android_glm,wiki_B,native,no_decay,18021404830.09183,0.9384460048531582
android_glm,wiki_B,native,gamma_prior,19161733388.104424,0.997827434301987
android_glm,wiki_B,native,fixed_horizon,19560192281.310337,1.018576768771346
android_glm,wiki_B,native,no_spend_cap,19203454153.882515,1.0
