cost_set,stream,price,row,mean_tokens,ratio_to_ours
android_qw,bpi2019,5M,ours,26637063944.788517,1.0
android_qw,bpi2019,5M,always_reactive,26637063944.788517,1.0
android_qw,bpi2019,5M,narrow_trigger,22778804370.080353,0.8551544726286162
android_qw,bpi2019,5M,fixed_cooldown,26637063944.788517,1.0
android_qw,bpi2019,5M,no_decay,26637063944.788517,1.0
android_qw,bpi2019,5M,gamma_prior,26637063944.788517,1.0
android_qw,bpi2019,5M,fixed_horizon,26637063944.788517,1.0
android_qw,bpi2019,5M,no_spend_cap,26637063944.788517,1.0
android_qw,bpi2019,native,ours,26263209363.203045,1.0
android_qw,bpi2019,native,always_reactive,26637063944.788517,1.014234916091758
android_qw,bpi2019,native,narrow_trigger,25346855513.648106,0.9651088396363764
android_qw,bpi2019,native,fixed_cooldown,26351827419.121605,1.0033742279815474
android_qw,bpi2019,native,no_decay,26197509154.42237,0.9974983937464731
android_qw,bpi2019,native,gamma_prior,26263087058.151276,0.9999953431033475
android_qw,bpi2019,native,fixed_horizon,26663562482.934753,1.0152438764887828
android_qw,bpi2019,native,no_spend_cap,26263209363.203045,1.0
android_qw,sepsis,5M,ours,92482526.97386195,1.0
android_qw,sepsis,5M,always_reactive,92482526.97386195,1.0
android_qw,sepsis,5M,narrow_trigger,92482526.97386195,1.0
android_qw,sepsis,5M,fixed_cooldown,92482526.97386195,1.0
android_qw,sepsis,5M,no_decay,92482526.97386195,1.0
android_qw,sepsis,5M,gamma_prior,92482526.97386195,1.0
android_qw,sepsis,5M,fixed_horizon,92482526.97386195,1.0
android_qw,sepsis,5M,no_spend_cap,92482526.97386195,1.0
android_qw,sepsis,native,ours,94915569.84052859,1.0
android_qw,sepsis,native,always_reactive,92482526.97386195,0.9743662407468606
android_qw,sepsis,native,narrow_trigger,103660387.97886196,1.092132599035394
android_qw,sepsis,native,fixed_cooldown,97348612.70719527,1.0256337592531397
android_qw,sepsis,native,no_decay,94915569.84052859,1.0
android_qw,sepsis,native,gamma_prior,94915569.84052859,1.0
android_qw,sepsis,native,fixed_horizon,92482526.97386195,0.9743662407468606
android_qw,sepsis,native,no_spend_cap,94915569.84052859,1.0
android_qw,wiki_A,5M,ours,6806978566.41046,1.0
android_qw,wiki_A,5M,always_reactive,6806978566.41046,1.0
android_qw,wiki_A,5M,narrow_trigger,6056768369.591497,0.8897880771182488
android_qw,wiki_A,5M,fixed_cooldown,6806978566.41046,1.0
android_qw,wiki_A,5M,no_decay,6806978566.41046,1.0
android_qw,wiki_A,5M,gamma_prior,6806978566.41046,1.0
android_qw,wiki_A,5M,fixed_horizon,6806978566.41046,1.0
android_qw,wiki_A,5M,no_spend_cap,6806978566.41046,1.0
android_qw,wiki_A,native,ours,6824946592.072709,1.0
android_qw,wiki_A,native,always_reactive,6806978566.41046,0.9973673016455369
android_qw,wiki_A,native,narrow_trigger,5990186408.65055,0.8776898584976844
android_qw,wiki_A,native,fixed_cooldown,6884661897.208479,1.008749563726276
android_qw,wiki_A,native,no_decay,6796766956.681654,0.995871083383453
android_qw,wiki_A,native,gamma_prior,6823127700.584657,0.9997334936671644
android_qw,wiki_A,native,fixed_horizon,6783206745.699782,0.9938842237356981
android_qw,wiki_A,native,no_spend_cap,6824946592.072709,1.0
android_qw,wiki_B,5M,ours,8817731316.245646,1.0
android_qw,wiki_B,5M,always_reactive,8817731316.245646,1.0
android_qw,wiki_B,5M,narrow_trigger,9050516642.063774,1.0263996846206063
android_qw,wiki_B,5M,fixed_cooldown,8817731316.245646,1.0
android_qw,wiki_B,5M,no_decay,8817731316.245646,1.0
android_qw,wiki_B,5M,gamma_prior,8817731316.245646,1.0
android_qw,wiki_B,5M,fixed_horizon,8817731316.245646,1.0
android_qw,wiki_B,5M,no_spend_cap,8817731316.245646,1.0
android_qw,wiki_B,native,ours,9006568662.68588,1.0
android_qw,wiki_B,native,always_reactive,8817731316.245646,0.9790333751384602
android_qw,wiki_B,native,narrow_trigger,9935648314.413258,1.1031557840197836
android_qw,wiki_B,native,fixed_cooldown,9112237602.911907,1.0117324304275626
android_qw,wiki_B,native,no_decay,8842920903.472904,0.9818301769139931
android_qw,wiki_B,native,gamma_prior,9005503782.036053,0.9998817662208872
android_qw,wiki_B,native,fixed_horizon,8821380880.545654,0.9794385865387939
android_qw,wiki_B,native,no_spend_cap,9006568662.68588,1.0
