pattern,cost_set,row,mean_tokens,rel_to_ours
bursty,android_qw,always_reactive,27500460.880028598,0.9081276675003299
bursty,android_qw,always_compile,145379564.54393426,4.800763355474332
bursty,android_qw,on_second,145379564.54393426,4.800763355474332
bursty,android_qw,success_count,127430326.73363975,4.208038763069082
bursty,android_qw,toolpro_port,26865315.712700836,0.8871537317599167
bursty,android_qw,ours,30282593.366773076,1.0
bursty,android_qw,oracle,18979789.264734097,0.6267557416518779
bursty,android_qw,breakeven,34809581.70110637,1.149491434881546
bursty,android_qw,breakeven_cap,34809581.70110637,1.149491434881546
bursty,android_qw,offline_opt,18460983.89855691,0.6096236103349335
poisson,android_qw,always_reactive,26479262.105990253,0.8811941717804261
poisson,android_qw,always_compile,135938469.56909022,4.523849139962783
poisson,android_qw,on_second,135938469.56909022,4.523849139962783
poisson,android_qw,success_count,118273581.03202908,3.9359854464164403
poisson,android_qw,toolpro_port,26479262.105990253,0.8811941717804261
poisson,android_qw,ours,30049293.281740285,1.0
poisson,android_qw,oracle,17926098.415173523,0.5965564064052872
poisson,android_qw,breakeven,36460354.863618,1.2133514928876366
poisson,android_qw,breakeven_cap,36460354.863618,1.2133514928876366
poisson,android_qw,offline_opt,17372928.794025213,0.5781476666069223
zipf,android_qw,always_reactive,34033572.71994627,0.943354184578555
zipf,android_qw,always_compile,234339669.10138583,6.495506930131525
zipf,android_qw,on_second,234339669.10138583,6.495506930131525
zipf,android_qw,success_count,216411887.64811343,5.998578564916361
zipf,android_qw,toolpro_port,34033572.71994627,0.943354184578555
zipf,android_qw,ours,36077194.83976299,1.0
zipf,android_qw,oracle,30797514.932312943,0.853656030328861
zipf,android_qw,breakeven,43947192.83631858,1.2181432905609824
zipf,android_qw,breakeven_cap,43947192.83631858,1.2181432905609824
zipf,android_qw,offline_opt,30369544.068770725,0.8417933878633629
