config,block,h,q0,p,r_fallback,sigma,silent_penalty,c_fail_mult,stream,price,policy,mean_tokens,rel_to_ours_noinflate,mean_final_library,mean_max_library,mean_n_compiles,mean_program_deaths,mean_silent_failures,mean_use_failures,mean_wasted_tax,mean_tax_share,mean_failed_attempts,mean_failed_tokens,cheapest_policy,best_vs_naive
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,always_reactive,28364744721.458,1.039556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,always_compile_evict,50418638810.318,1.847822,89.7,141.1,18980.6,4427.9,0.0,92083.9,18444.4,0.049,13277.9,32513430278.746,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,ours_noinflate,27285443534.579,1.0,11.3,26.8,1228.9,219.6,0.0,4472.4,1035.4,0.016,866.4,2121543014.596,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,oracle_tax,27465215090.352,1.006589,48.7,57.5,1627.8,432.1,0.0,8943.0,1381.6,0.017,1147.0,2808644780.404,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,ours_spend_cap,28656663570.131,1.050255,8.2,23.0,748.0,89.5,0.0,1819.2,612.8,0.013,527.9,1292662231.539,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,ours_cap_epoch,28300613240.738,1.037206,9.9,24.8,905.0,127.6,0.0,2563.1,747.9,0.014,640.7,1568874202.968,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,ours_cap_realized,27409208987.654,1.004536,10.9,26.0,1169.4,204.4,0.0,4159.6,983.2,0.015,824.5,2018943000.386,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,ours_pi_prior,27997810821.577,1.026108,14.0,28.1,1140.5,181.9,0.0,3710.8,971.5,0.016,805.3,1971928196.738,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,breakeven,31602301739.541,1.158211,2.7,13.4,1980.5,77.6,0.0,1544.2,1731.1,0.006,1392.6,3410042477.062,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,breakeven_cap_epoch,30260434033.347,1.109032,1.9,9.3,1151.1,30.7,0.0,624.8,1001.9,0.005,812.0,1988334404.261,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,offline_taxblind,16938126892.377,0.620775,,,,,,,,,,,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,autorpa_233k,offline_opt_tax,17662864510.341,0.647337,,,,,,,,,,,ours_noinflate,0.541178
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,always_reactive,28364744721.458,1.029379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,always_compile_evict,59451802152.542,2.157552,91.1,143.3,18980.6,4427.9,0.0,92083.9,18434.9,0.042,13277.9,41137289851.539,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,ours_noinflate,27555213682.95,1.0,12.7,28.6,1316.6,229.2,0.0,4680.6,1122.2,0.017,928.3,2238939307.732,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,oracle_tax,27417548562.288,0.995004,47.9,54.3,1603.2,427.8,0.0,8840.6,1363.3,0.017,1127.5,2749445798.922,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,ours_spend_cap,28799236163.224,1.045147,9.4,24.5,854.3,105.5,0.0,2154.6,712.9,0.014,601.7,1428902499.333,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,ours_cap_epoch,28455270923.173,1.032664,11.1,26.4,1015.7,144.8,0.0,2911.6,852.8,0.015,717.9,1716442328.782,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,ours_cap_realized,27574047256.887,1.000683,12.3,27.7,1282.0,222.6,0.0,4533.4,1090.2,0.016,902.8,2176310078.709,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,ours_pi_prior,28034794155.009,1.017404,14.2,27.4,1180.7,190.3,0.0,3872.2,1010.1,0.016,832.7,2010182604.265,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,breakeven,31793607536.989,1.153815,2.0,13.2,2003.9,78.3,0.0,1587.5,1754.2,0.006,1407.1,3600185808.955,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,breakeven_cap_epoch,30372164182.625,1.102229,1.1,9.8,1207.6,32.4,0.0,662.1,1058.3,0.005,850.3,2099228069.449,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,offline_taxblind,17762392871.554,0.644611,,,,,,,,,,,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,bpi2019,native,offline_opt_tax,18398294802.924,0.667688,,,,,,,,,,,ours_noinflate,0.463488
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,always_reactive,187135368.565,0.972506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,always_reactive,0.670545
h=0.02/q0=0.4/p=0.3/r=1/sig=0/cf=10.5094,A_core,0.02,0.4,0.3,1.0,0.0,1.0,10.509389227369171,sepsis,autorpa_233k,always_compile_evict,279079482.546,1.450321,12.7,13.2,60.3,2.3,0.0,39.7,54.6,0.003,44.2,108231995.897,always_reactive,0.670545
