ds_00 0:0.4:1:1:0
ds_01 0:0.4:0.5:1:0
ds_02 0:0.4:0.5:1:0:10.509389227369171
ds_03 0:0.4:0.3:1:0
ds_04 0:0.4:0.3:1:0:10.509389227369171
ds_05 0:0.4:0:1:0
ds_06 0:0.4:0:1:0:10.509389227369171
ds_07 0.02:0.4:1:1:0
ds_08 0.02:0.4:0.5:1:0
ds_09 0.02:0.4:0.5:1:0:10.509389227369171
ds_10 0.02:0.4:0.3:1:0
ds_11 0.02:0.4:0.3:1:0:10.509389227369171
ds_12 0.02:0.4:0:1:0
ds_13 0.02:0.4:0:1:0:10.509389227369171
ds_14 0.1:0.4:1:1:0
ds_15 0.1:0.4:0.5:1:0
ds_16 0.1:0.4:0.5:1:0:10.509389227369171
ds_17 0.1:0.4:0.3:1:0
ds_18 0.1:0.4:0.3:1:0:10.509389227369171
ds_19 0.1:0.4:0:1:0
ds_20 0.1:0.4:0:1:0:10.509389227369171
ds_21 0.3:0.4:1:1:0
ds_22 0.3:0.4:0.5:1:0
ds_23 0.3:0.4:0.5:1:0:10.509389227369171
ds_24 0.3:0.4:0.3:1:0
ds_25 0.3:0.4:0.3:1:0:10.509389227369171
ds_26 0.3:0.4:0:1:0
ds_27 0.3:0.4:0:1:0:10.509389227369171
ds_28 0.1:0.17:1:1:0
ds_29 0.1:0.17:0.3:1:0
ds_30 0.1:0.17:0.3:1:0:10.509389227369171
ds_31 0.1:0.17:0:1:0
ds_32 0.1:0.17:0:1:0:10.509389227369171
ds_33 0.1:0.6:1:1:0
ds_34 0.1:0.6:0.3:1:0
ds_35 0.1:0.6:0.3:1:0:10.509389227369171
ds_36 0.1:0.6:0:1:0
ds_37 0.1:0.6:0:1:0:10.509389227369171
ds_38 0:0.4:1:2.2:0
ds_39 0.1:0.4:1:2.2:0
ds_40 0.1:0.4:0.3:2.2:0
ds_41 0.1:0.4:0.3:2.2:0:10.509389227369171
ds_42 0.1:0.4:0:2.2:0
ds_43 0.1:0.4:0:2.2:0:10.509389227369171
ds_44 0:0.4:1:1:0.3
ds_45 0.1:0.4:1:1:0.3
ds_46 0.1:0.4:0.3:1:0.3
ds_47 0.1:0.4:0.3:1:0.3:10.509389227369171
ds_48 0.1:0.4:0:1:0.3
ds_49 0.1:0.4:0:1:0.3:10.509389227369171
