glm_00 0:0.4:1:1:0
glm_01 0:0.4:0.5:1:0
glm_02 0:0.4:0.3:1:0
glm_03 0:0.4:0:1:0
glm_04 0.02:0.4:1:1:0
glm_05 0.02:0.4:0.5:1:0
glm_06 0.02:0.4:0.3:1:0
glm_07 0.02:0.4:0:1:0
glm_08 0.1:0.4:1:1:0
glm_09 0.1:0.4:0.5:1:0
glm_10 0.1:0.4:0.3:1:0
glm_11 0.1:0.4:0:1:0
glm_12 0.3:0.4:1:1:0
glm_13 0.3:0.4:0.5:1:0
glm_14 0.3:0.4:0.3:1:0
glm_15 0.3:0.4:0:1:0
glm_16 0.1:0.17:1:1:0
glm_17 0.1:0.17:0.3:1:0
glm_18 0.1:0.17:0:1:0
glm_19 0.1:0.6:1:1:0
glm_20 0.1:0.6:0.3:1:0
glm_21 0.1:0.6:0:1:0
glm_22 0:0.4:1:2.2:0
glm_23 0.1:0.4:1:2.2:0
glm_24 0.1:0.4:0.3:2.2:0
glm_25 0.1:0.4:0:2.2:0
glm_26 0:0.4:1:1:0.3
glm_27 0.1:0.4:1:1:0.3
glm_28 0.1:0.4:0.3:1:0.3
glm_29 0.1:0.4:0:1:0.3
